,easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
76,41923.0,18600.0,0.07,0.024,0.348,10476747.514,0.0894418762099828,0.9105581237900172,696563.85541741,364.3769587490322
78,42129.0,18600.0,0.07,0.021,0.349,10498537.427000001,0.08905321233779906,0.9109467876622008,514514.1037395839,339.53341602509215
80,42335.0,18600.0,0.07,0.02,0.349,10520027.635,0.0886740181594958,0.9113259818405042,636704.7949291754,315.2844213467455
82,42541.0,18600.0,0.08,0.024,0.349,10541204.851,0.08830447731500009,0.911695522685,210872.79805910058,290.52540451021395
84,42747.0,18600.0,0.06,0.012,0.349,10562055.868999999,0.08794477751295203,0.912055222487048,1146272.7850125309,294.17285155070095
86,42953.0,18600.0,0.07,0.026000000000000002,0.35,10592692.094,0.08742410030283702,0.9125758996971629,548200.0612832382,272.4148610194417
88,43159.0,18600.0,0.07,0.02,0.35,10612670.406,0.0870898506982419,0.912910149301758,1696813.4465154964,368.75434305218766
90,43364.0,18600.0,0.04,0.006,0.35,10632277.002999999,0.08676613051048558,0.9132338694895143,485644.1053515661,362.0909957868228
92,43570.0,18600.0,0.08,0.025,0.35,10651499.109,0.08645314503524985,0.9135468549647502,1356757.9881787335,299.3379166968901
94,43776.0,18600.0,0.07,0.02,0.35100000000000003,10670324.065,0.08615110315503692,0.9138488968449632,1032545.8400341228,264.02306540665995
96,43982.0,18600.0,0.07,0.026000000000000002,0.35100000000000003,10688739.34,0.08586021715264043,0.9141397828473596,821650.8591304119,269.79062758336727
98,44188.0,18600.0,0.05,0.01,0.35100000000000003,10706732.534,0.08558070248726503,0.914419297512735,270441.70306051103,303.89136092938867
0,87600.0,14400.0,0.1,0.040999999999999995,0.32799999999999996,8144787.557,0.2399653297884173,0.7600346702115827,818049.7727201744,251.6814902250087
2,87685.0,14400.0,0.07,0.017,0.32799999999999996,8138690.84,0.2402794353628069,0.7597205646371931,794622.4416972152,236.52525683116642
4,87770.0,14400.0,0.08,0.023,0.32799999999999996,8132621.0,0.2405936142906011,0.7594063857093989,169471.83556231132,279.67642446624046
6,87854.0,14400.0,0.08,0.034,0.32799999999999996,8126578.666,0.2409078686199944,0.7590921313800056,490050.1958078204,237.1875776131707
8,87939.0,14400.0,0.08,0.034,0.32799999999999996,8126578.666,0.2409078686199944,0.7590921313800056,704622.0261234577,354.8471213754647
10,88024.0,14400.0,0.09,0.042,0.32799999999999996,8120564.462,0.24122220022812504,0.758777799771875,479379.38252378494,368.57499502728274
12,88109.0,14400.0,0.08,0.03,0.32799999999999996,8114579.0,0.24153661080086414,0.7584633891991358,597829.3412062568,331.624109389006
14,88194.0,14400.0,0.07,0.017,0.32799999999999996,8108622.882999999,0.2418511018116759,0.7581488981883241,835301.8890519603,255.5957731677475
16,88278.0,14400.0,0.08,0.028999999999999998,0.32799999999999996,8102696.693,0.242165674499516,0.7578343255004839,249617.655683942,258.4182332382607
18,88363.0,14400.0,0.06,0.015,0.32899999999999996,8096800.999,0.2424803298461513,0.7575196701538487,787268.4291080745,278.5587219419181
20,88448.0,14400.0,0.06,0.015,0.32899999999999996,8096800.999,0.2424803298461513,0.7575196701538487,1407857.5789874569,263.90805324405983
22,88533.0,14400.0,0.05,0.009000000000000001,0.32899999999999996,8090936.342999999,0.2427950685529339,0.7572049314470661,1242737.6087758844,291.45589842080636
24,88617.0,14400.0,0.08,0.026000000000000002,0.32899999999999996,8085103.243,0.2431098910172232,0.7568901089827769,1233841.404075639,296.09921283422216
26,88702.0,14400.0,0.07,0.021,0.32899999999999996,8079302.187999999,0.24342479730821606,0.756575202691784,953509.658788522,347.4936276114512
28,88787.0,14400.0,0.08,0.022000000000000002,0.32899999999999996,8073533.635,0.2437397871434473,0.7562602128565526,1614574.1667237384,271.1120342264968
30,88872.0,14400.0,0.05,0.01,0.32899999999999996,8067798.002,0.24405485986479045,0.7559451401352095,635847.4227826542,240.41209553201358
32,88957.0,14400.0,0.08,0.033,0.32899999999999996,8062095.672,0.24437001441541195,0.755629985584588,395776.02792375797,311.66323824777834
34,89041.0,14400.0,0.08,0.033,0.32899999999999996,8062095.672,0.24437001441541195,0.755629985584588,617250.885046794,340.07728488178475
36,89126.0,14400.0,0.08,0.027000000000000003,0.32899999999999996,8056426.982999999,0.2446852493170618,0.7553147506829382,1415056.3772710422,359.5280668094664
38,89211.0,14400.0,0.08,0.024,0.32899999999999996,8050792.227000001,0.2450005626485227,0.7549994373514772,609090.98524762,304.4748565129609
40,89296.0,14400.0,0.06,0.016,0.32899999999999996,8045191.647000001,0.2453159520250573,0.7546840479749426,905004.8691995707,244.6810730763691
42,89381.0,14400.0,0.06,0.013999999999999999,0.32899999999999996,8039625.437000001,0.24563141457942497,0.7543685854205749,588500.6458280555,265.49867514996475
44,89465.0,14400.0,0.07,0.019,0.32899999999999996,8034093.735,0.2459469469445081,0.7540530530554919,875863.5337962582,210.22603860187942
46,89550.0,14400.0,0.09,0.03,0.33,8028596.622,0.24626254523784205,0.7537374547621579,1278104.8597448978,248.2844640057653
48,89635.0,14400.0,0.09,0.03,0.33,8028596.622,0.24626254523784205,0.7537374547621579,298537.13347956963,306.81843923882093
50,89720.0,14400.0,0.06,0.016,0.33,8023134.124,0.24657820504833802,0.753421794951662,664420.2277188586,252.7057430400002
52,89805.0,14400.0,0.07,0.024,0.33,8017706.203,0.2468939214252265,0.7531060785747734,670170.7233190546,303.92500833118675
54,89889.0,14400.0,0.08,0.027999999999999997,0.33,8012312.762,0.24720968886957465,0.7527903111304254,681496.7184252223,349.54755369539964
56,89974.0,14400.0,0.1,0.036000000000000004,0.33,8006953.642999999,0.24752550132839804,0.752474498671602,995174.6905529306,334.11454799801146
58,90059.0,14400.0,0.06,0.018000000000000002,0.33,8001628.622,0.2478413521914275,0.7521586478085726,291420.91885305685,304.12924197065473
60,90144.0,14400.0,0.06,0.018000000000000002,0.33,8001628.622,0.2478413521914275,0.7521586478085726,229370.5216395771,181.72275825739032
62,90228.0,14400.0,0.07,0.023,0.33,7996337.415,0.24815723429076514,0.7518427657092348,1720230.2325436568,372.00279260512
64,90313.0,14400.0,0.07,0.02,0.33,7991079.6729999995,0.2484731399032764,0.7515268600967235,1458684.6355599102,396.76595239506935
66,90398.0,14400.0,0.05,0.013999999999999999,0.33,7985854.9860000005,0.2487890607557233,0.7512109392442766,1057707.001549015,310.85890080165717
68,90483.0,14400.0,0.07,0.025,0.33,7980662.882,0.2491049880327121,0.7508950119672879,585346.4569081799,260.01901076178507
70,90568.0,14400.0,0.1,0.047,0.33,7975502.829,0.2494209123872469,0.7505790876127532,790104.2623850942,347.80350482201493
72,90652.0,14400.0,0.06,0.02,0.33,7970374.238,0.24973682395368585,0.7502631760463141,625105.6384522632,296.22770779488394
74,90737.0,14400.0,0.06,0.02,0.33,7970374.238,0.24973682395368585,0.7502631760463141,709445.3877362319,256.0659219961417
76,90822.0,14400.0,0.06,0.012,0.33,7965276.462,0.2500527123631333,0.7499472876368667,1470135.4678516511,310.13829636848203
78,90907.0,14400.0,0.05,0.011000000000000001,0.33,7960208.8,0.2503685667609591,0.7496314332390409,665966.1957770445,401.69555894513525
80,90992.0,14400.0,0.06,0.013999999999999999,0.331,7955170.5,0.25068437582617875,0.7493156241738212,835535.2948761082,336.5298402274912
82,91076.0,14400.0,0.07,0.021,0.331,7950160.76,0.25100012779264896,0.7489998722073509,1454108.1947339762,387.87938226696923
84,91161.0,14400.0,0.06,0.019,0.331,7945178.734,0.2513158104715053,0.7486841895284947,829157.6310094617,231.20690735131248
86,91246.0,14400.0,0.06,0.019,0.331,7945178.734,0.2513158104715053,0.7486841895284947,1066650.1914698982,289.2066661614867
88,91331.0,14400.0,0.07,0.02,0.331,7940223.532000001,0.251631411275092,0.7483685887249081,217058.78616877497,274.07443805663155
90,91416.0,14400.0,0.08,0.027999999999999997,0.331,7935294.223999999,0.2519469172415825,0.7480530827584175,612202.8513336297,209.6577518884558
92,91500.0,14400.0,0.07,0.019,0.331,7930389.844,0.2522623150605055,0.7477376849394946,641363.3507344021,279.26909673341805
94,91585.0,14400.0,0.05,0.01,0.331,7925509.393999999,0.2525775910985648,0.7474224089014352,642439.7145959161,234.8212210950509
96,91670.0,14400.0,0.07,0.019,0.331,7920651.845,0.252892731425739,0.7471072685742609,1461409.34985475,353.33544305173126
98,91755.0,14400.0,0.06,0.013000000000000001,0.331,7915816.142999999,0.2532077218415977,0.7467922781584023,1016269.6592353416,260.90888571731324
0,1300.0,58000.0,0.06,0.011000000000000001,0.304,10722482.457999999,0.13018190924393389,0.8698180907560661,934758.0501653928,344.18715673375283
5,1681.0,58000.0,0.02,0.002,0.304,10705302.226,0.12854447494865484,0.8714555250513452,325942.72815909534,256.89166836184415
10,2062.0,58000.0,0.03,0.004,0.303,10689747.25,0.1269107191547793,0.8730892808452206,675735.4844285289,325.00612538675375
15,2443.0,58000.0,0.06,0.013000000000000001,0.303,10679171.615,0.1256895113798895,0.8743104886201105,507884.0918538214,245.56460742283286
20,2824.0,58000.0,0.04,0.006,0.302,10666556.031,0.12406910238102573,0.8759308976189742,615916.1673652615,247.23551165471557
25,3205.0,58000.0,0.03,0.005,0.302,10655672.208999999,0.1224605612048683,0.8775394387951317,1098004.3888545642,280.7237526698027
30,3586.0,58000.0,0.04,0.006,0.302,10646555.946,0.12086717803288735,0.8791328219671126,515041.8715206289,234.4943572836488
35,3967.0,58000.0,0.04,0.006,0.301,10639240.992,0.11929239693823235,0.8807076030617677,311047.7160590278,297.7349434393543
40,4348.0,58000.0,0.04,0.006999999999999999,0.301,10634955.866,0.11812566991168663,0.8818743300883134,516944.19789587526,281.435779602719
45,4729.0,58000.0,0.01,0.0,0.301,10630867.136,0.1165921395301544,0.8834078604698457,227538.03426636165,241.2388796152292
50,5110.0,58000.0,0.04,0.005,0.3,10628659.413999999,0.11508734186695553,0.8849126581330444,275895.7411562454,259.59340821661897
55,5491.0,58000.0,0.04,0.006999999999999999,0.3,10628356.0,0.11361512743474365,0.8863848725652563,1293120.8598570337,394.7291955937173
60,5872.0,58000.0,0.05,0.008,0.299,10629976.72,0.1121793816563838,0.8878206183436163,625338.1747735579,280.1245679015164
65,6253.0,58000.0,0.03,0.004,0.299,10633537.672,0.11078398052567652,0.8892160194743235,683297.5832267619,242.44502791091537
70,6634.0,58000.0,0.05,0.008,0.299,10637489.138,0.10976620472836124,0.8902337952716387,449458.004172023,240.60426364046955
75,7015.0,58000.0,0.04,0.005,0.299,10644472.319,0.10845051728954844,0.8915494827104515,844090.3556939948,223.715733433156
80,7396.0,58000.0,0.02,0.002,0.298,10653419.254,0.10718534073603048,0.8928146592639695,1577566.7055172059,323.20388430474554
85,7777.0,58000.0,0.05,0.008,0.298,10664330.564,0.10597400612725022,0.8940259938727497,1322721.559453614,372.1350125321441
90,8158.0,58000.0,0.03,0.003,0.298,10677202.527,0.10481954152465962,0.8951804584753403,315988.7048993936,321.04341591639763
95,8539.0,58000.0,0.02,0.002,0.297,10688138.479,0.1039926277780778,0.8960073722219222,769960.2892831513,274.9658379898679
0,64400.0,34700.0,0.09,0.032,0.331,10735644.966,0.14530290594021653,0.8546970940597834,773884.3443617205,294.54026193042665
3,64592.0,34700.0,0.09,0.047,0.331,10713361.242999999,0.14495282329256953,0.8550471767074305,924418.1816000777,223.1174143243248
6,64784.0,34700.0,0.07,0.02,0.331,10691225.812,0.14462906906173073,0.8553709309382693,623886.458447205,260.717740192486
9,64977.0,34700.0,0.11,0.045,0.331,10669263.862,0.14433261231818365,0.8556673876818164,1271154.238263568,259.5900001408003
12,65169.0,34700.0,0.08,0.023,0.331,10647501.444,0.14406445273488025,0.8559355472651198,735868.0931214085,363.7712359118847
15,65361.0,34700.0,0.1,0.039,0.331,10625965.481,0.14382562042070815,0.8561743795792919,597548.6992943028,287.76258027924547
18,65553.0,34700.0,0.08,0.03,0.331,10604683.752999999,0.14361717539338795,0.8563828246066121,660536.9383971444,334.9436517274576
21,65745.0,34700.0,0.09,0.027000000000000003,0.332,10594147.139,0.14352468732029056,0.8564753126797094,980409.402607894,296.7849754592134
24,65938.0,34700.0,0.1,0.044000000000000004,0.332,10573300.682,0.14336387370033513,0.8566361262996649,807686.2343557734,276.1772162026841
27,66130.0,34700.0,0.08,0.022000000000000002,0.332,10552781.519,0.14323622069972844,0.8567637793002716,221961.77049532847,296.5619446256356
30,66322.0,34700.0,0.09,0.031,0.332,10532620.203,0.14314288191364388,0.8568571180863561,886899.4030974902,357.48759592743636
33,66514.0,34700.0,0.09,0.036000000000000004,0.332,10512847.953,0.1430850319384528,0.8569149680615472,896976.3150361013,265.14988687274007
36,66706.0,34700.0,0.1,0.038,0.332,10493496.557,0.14306386240023267,0.8569361375997673,911726.3639240029,291.54503911411825
39,66899.0,34700.0,0.12,0.059000000000000004,0.332,10474598.263,0.14308057704603824,0.8569194229539617,391600.2216491789,206.42326793374275
42,67091.0,34700.0,0.08,0.028999999999999998,0.33299999999999996,10456185.63,0.1431363858035907,0.8568636141964093,806224.5591051156,225.594538015895
45,67283.0,34700.0,0.08,0.025,0.33299999999999996,10438291.371,0.14323249772627844,0.8567675022737216,1102384.2769403683,265.1570203970466
48,67475.0,34700.0,0.08,0.027999999999999997,0.33299999999999996,10420948.146,0.14337011276055991,0.8566298872394401,432034.86114233366,354.17312307475265
51,67667.0,34700.0,0.09,0.03,0.33299999999999996,10404188.345,0.1435504123024146,0.8564495876975854,1075994.315800923,219.55146192025933
54,67860.0,34700.0,0.07,0.018000000000000002,0.33299999999999996,10388043.825,0.1437745485502698,0.8562254514497302,368196.90776723897,230.07473139773572
57,68052.0,34700.0,0.08,0.024,0.33299999999999996,10372545.632000001,0.1440436327141039,0.8559563672858961,665616.0026110304,334.7278734919352
60,68244.0,34700.0,0.06,0.018000000000000002,0.33299999999999996,10365048.311,0.14419536317502604,0.8558046368249741,1298034.870939931,312.5161221846589
63,68436.0,34700.0,0.09,0.045,0.33299999999999996,10350575.272,0.14453383133234285,0.8554661686676571,542892.2468413855,298.92374808992315
66,68628.0,34700.0,0.08,0.027999999999999997,0.33299999999999996,10336820.537,0.14491976006409002,0.8550802399359101,673950.4804237718,257.35042828258867
69,68821.0,34700.0,0.08,0.033,0.33399999999999996,10323809.752999999,0.14535401150376698,0.854645988496233,1163304.5873321204,288.20988997949934
72,69013.0,34700.0,0.1,0.048,0.33399999999999996,10311566.25,0.1458373446263354,0.8541626553736645,823064.9031710025,326.0042540939744
75,69205.0,34700.0,0.09,0.034,0.33399999999999996,10300110.707,0.14637040136337132,0.8536295986366287,1184005.60370913,329.7920001701526
78,69397.0,34700.0,0.09,0.024,0.33399999999999996,10289460.833999999,0.14695369366546862,0.8530463063345314,1087566.353863844,310.57920109938595
81,69589.0,34700.0,0.09,0.037000000000000005,0.33399999999999996,10279631.097000001,0.1475875920219933,0.8524124079780067,740008.0955967237,311.94044209440824
84,69782.0,34700.0,0.1,0.039,0.33399999999999996,10270632.483,0.1482723159296952,0.8517276840703047,1413551.6494113402,309.7097651138976
87,69974.0,34700.0,0.08,0.022000000000000002,0.33399999999999996,10262472.33,0.14900792674526672,0.8509920732547333,297873.2007083472,404.51743223378264
90,70166.0,34700.0,0.1,0.051,0.33399999999999996,10255154.214,0.14979432326394873,0.8502056767360513,1496660.7238841315,254.365877174335
93,70358.0,34700.0,0.1,0.04,0.33399999999999996,10248677.919,0.15063124024337907,0.849368759756621,1488138.8389704411,422.174043940492
96,70550.0,34700.0,0.09,0.032,0.33399999999999996,10243039.468,0.1515182499479364,0.8484817500520636,725422.2199298402,253.8604750959793
99,70743.0,34700.0,0.06,0.012,0.33399999999999996,10240532.189,0.15198036252068842,0.8480196374793116,939218.7038240236,397.83318666032136
0,78400.0,79600.0,0.08,0.024,0.341,10076420.179,0.126065005076091,0.873934994923909,369409.53356785094,292.9035697245812
2,78586.0,79600.0,0.05,0.01,0.34,10068845.908,0.12467659396512736,0.8753234060348727,626557.83505714,293.60261448885973
4,78771.0,79600.0,0.04,0.006,0.34,10060803.18,0.12327104098580315,0.8767289590141969,1085695.0303482485,337.22307537317573
6,78957.0,79600.0,0.03,0.002,0.33899999999999997,10052299.703,0.12184936292338985,0.8781506370766101,1178466.713721086,217.4581659473771
8,79142.0,79600.0,0.04,0.005,0.33899999999999997,10047877.617,0.12113279693495793,0.8788672030650421,909583.8888992328,382.27392205255455
10,79328.0,79600.0,0.05,0.01,0.33899999999999997,10038697.652,0.11968885525830872,0.8803111447416913,574291.7410264015,250.38401376505362
12,79514.0,79600.0,0.05,0.01,0.33799999999999997,10029076.558,0.1182313652454563,0.8817686347545437,778862.9622200308,307.8512518643057
14,79699.0,79600.0,0.04,0.008,0.33799999999999997,10019022.307,0.11676137105799222,0.8832386289420078,485752.1911999932,270.34690648675087
16,79885.0,79600.0,0.02,0.002,0.337,10008542.93,0.11527992431196757,0.8847200756880325,870695.9046524725,288.93268110462463
18,80070.0,79600.0,0.03,0.003,0.337,9997646.514,0.11378808392407125,0.8862119160759288,495959.1400360343,170.46823382366026
20,80256.0,79600.0,0.04,0.005,0.336,9986341.197,0.11228691595620932,0.8877130840437907,32725.501061328483,340.06739389045475
22,80441.0,79600.0,0.04,0.006999999999999999,0.336,9980537.757000001,0.11153316918842328,0.8884668308115767,1031425.3882240206,237.96804892623985
24,80627.0,79600.0,0.05,0.008,0.335,9968634.444,0.1100200239475502,0.8899799760524498,1084157.8708082344,324.6778473822142
26,80813.0,79600.0,0.04,0.008,0.335,9956342.76,0.10850024645714028,0.8914997535428597,619471.7951988309,335.13055446006507
28,80998.0,79600.0,0.05,0.01,0.33399999999999996,9943670.975,0.1069749264392238,0.8930250735607762,755164.4320274127,229.5155845644926
30,81184.0,79600.0,0.03,0.002,0.33399999999999996,9930627.389,0.10544515992562098,0.894554840074379,966806.2382564251,176.31742289731793
32,81369.0,79600.0,0.06,0.013000000000000001,0.33299999999999996,9917220.32,0.10391204901530156,0.8960879509846984,459182.5727946724,279.3288947699431
34,81555.0,79600.0,0.07,0.019,0.33299999999999996,9903458.105,0.10237670160129864,0.8976232983987014,853167.6327455281,257.74781521755625
36,81741.0,79600.0,0.04,0.006,0.332,9896446.426,0.10160853693112844,0.8983914630688715,477039.4742363108,366.07539702335544
38,81926.0,79600.0,0.05,0.008,0.332,9882167.146,0.10007192396619002,0.8999280760338101,1317032.0402048635,357.21198452157097
40,82112.0,79600.0,0.04,0.006,0.331,9867553.6,0.09853586745385733,0.9014641325461428,350786.9324606932,264.8943399661084
42,82297.0,79600.0,0.05,0.009000000000000001,0.331,9852614.141,0.09700149286078884,0.9029985071392111,629941.1400918815,300.2753813643622
44,82483.0,79600.0,0.06,0.015,0.33,9837357.118999999,0.09546992971124332,0.9045300702887566,1246695.3241905735,405.1174069602077
46,82668.0,79600.0,0.05,0.008,0.33,9821790.871,0.09394231106006083,0.9060576889399392,1079180.626287683,313.01287119976473
48,82854.0,79600.0,0.05,0.009000000000000001,0.32899999999999996,9805923.718,0.0924197729035136,0.9075802270964864,975150.7799503332,407.87983683420487
50,83040.0,79600.0,0.03,0.003,0.32899999999999996,9797879.898,0.09166076465404216,0.9083392353459578,809810.3413811388,260.2134467376408
52,83225.0,79600.0,0.06,0.015,0.32799999999999996,9781576.944,0.0901479820370112,0.9098520179629888,622162.2266019441,289.8008005271798
54,83411.0,79600.0,0.03,0.002,0.32799999999999996,9764993.787,0.08864312829825527,0.9113568717017448,821419.117165186,267.3732103081295
56,83596.0,79600.0,0.05,0.01,0.327,9748138.652,0.08714734409267133,0.9128526559073288,1240367.7289755968,418.4939664032445
58,83782.0,79600.0,0.03,0.004,0.326,9731019.727,0.08566176948131557,0.9143382305186843,1094729.0729531902,382.98175839699456
60,83968.0,79600.0,0.05,0.009000000000000001,0.326,9713645.156,0.08418754292469141,0.9158124570753086,985056.685794809,407.1172878294986
62,84153.0,79600.0,0.04,0.005,0.325,9696023.033,0.08272580018814799,0.917274199811852,276834.1717114781,324.25741337447954
64,84339.0,79600.0,0.04,0.006,0.325,9687121.654,0.08199996415238645,0.9180000358476136,941143.9354914523,360.6725690787581
66,84524.0,79600.0,0.04,0.005,0.325,9669143.26,0.08055906787120774,0.9194409321287924,698923.3228928252,306.7795000460971
68,84710.0,79600.0,0.04,0.009000000000000001,0.324,9650937.301,0.07913347502713708,0.9208665249728628,448437.385551474,327.5895873452605
70,84895.0,79600.0,0.05,0.008,0.32299999999999995,9632511.661,0.07772430201052415,0.9222756979894758,540057.2869307245,282.7076460962593
72,85081.0,79600.0,0.06,0.016,0.32299999999999995,9613874.15,0.07633265644990674,0.9236673435500932,1154464.6695083338,362.347025863331
74,85267.0,79600.0,0.03,0.004,0.322,9595032.501,0.07495963560739444,0.9250403643926056,865241.972237073,366.8768779607008
76,85452.0,79600.0,0.05,0.009000000000000001,0.322,9575994.365,0.07360632468355544,0.9263936753164446,901528.350161382,263.44372617441144
78,85638.0,79600.0,0.03,0.004,0.322,9566403.982,0.0729373958313454,0.9270626041686546,722466.8217849245,368.2697050495473
80,85823.0,79600.0,0.02,0.002,0.321,9547085.269,0.07161565374549092,0.928384346254509,826431.9195394336,317.4099494696045
82,86009.0,79600.0,0.03,0.003,0.321,9527588.804,0.07031626991322279,0.9296837300867772,781497.5780862772,314.7736359191224
84,86195.0,79600.0,0.04,0.006999999999999999,0.32,9507921.912,0.06904027275982713,0.9309597272401728,768027.2267192797,330.5895700974886
86,86380.0,79600.0,0.04,0.008,0.319,9488091.813,0.06778867002468099,0.9322113299753191,529996.4517285257,284.46013281234883
88,86566.0,79600.0,0.03,0.003,0.319,9468105.618999999,0.06656244666684563,0.9334375533331544,146480.67303959886,252.66052348632184
90,86751.0,79600.0,0.05,0.01,0.318,9447970.331,0.06536256272776544,0.9346374372722346,1098053.9962465123,268.9042810839501
92,86937.0,79600.0,0.04,0.008,0.318,9437848.931,0.06477279070679176,0.9352272092932082,261469.6801104711,316.7496854983093
94,87122.0,79600.0,0.04,0.005,0.318,9417502.867,0.06361415612867195,0.936385843871328,181612.69856330185,214.88289625934985
96,87308.0,79600.0,0.06,0.013999999999999999,0.317,9397024.685,0.06248413780175425,0.9375158621982458,913525.9352282373,367.3445877018626
98,87494.0,79600.0,0.02,0.002,0.317,9376420.958999999,0.06138359142685568,0.9386164085731444,957583.8647204555,235.53430779249803
0,75500.0,87000.0,0.05,0.01,0.32899999999999996,11013255.122000001,0.18910855201911486,0.8108914479808851,131552.9735837319,330.8831428015256
